original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Powder For Solution For Injection (SC),powder for solution for injection sc,for solution for injection sc,['sc'],['injection'],solution
Suspension For Injection (IM),suspension for injection im,for injection im,['im'],['injection'],
Powder for Solution for S.C. Injection,powder for solution for sc injection,for solution for sc injection,['sc'],['injection'],solution
Powder for Injection (IM),powder for injection im,for injection im,['im'],['injection'],
Concentrate For Solution For Infusion (IV),concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Solution for Injection (IV Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder for Solution for Injection (SC),powder for solution for injection sc,for solution for injection sc,['sc'],['injection'],solution
Suspension for Injection (SC) [1 mL of suspension contains 100 units soluble insulin aspart/protamine-crystallized insulin aspart in the ratio 50/50 (equivalent to 3.5 mg)],suspension for injection sc ml of suspension contains units soluble insulin aspart protamine-crystallized insulin aspart in the ratio equivalent to mg,for injection sc ml of suspension contains units soluble insulin aspart protamine-crystallized insulin aspart in the ratio equivalent to mg,['sc'],"['suspension', 'injection']",suspension
Solution For Injection (S.C./I.M.),solution for injection sc im,for injection sc im,"['im', 'sc']",['injection'],
Lyophilized Powder for Injection (IV/SC),lyophilized powder for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Powder For Concentrate For Solution For Infusion,powder for concentrate for solution for infusion,for concentrate for solution for infusion,[],['infusion'],concentrate
Solution for IV Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Suspension for Injection (Deep Subcutaneous/I.M.),suspension for injection deep subcutaneous im,for injection deep subcutaneous im,"['im', 'subcutaneous']",['injection'],
Suspension for Injection (SC),suspension for injection sc,for injection sc,['sc'],['injection'],
Solution for Injection (Intravitreal),solution for injection intravitreal,for injection intravitreal,['intravitreal'],['injection'],
Solution for Injection (S.C.),solution for injection sc,for injection sc,['sc'],['injection'],
Concentrate for Solution for IV Infusion,concentrate for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Hard Vaginal Capsule,hard vaginal capsule,,,,
Powder for Solution for Intravenous Injection,powder for solution for intravenous injection,for solution for intravenous injection,['intravenous'],['injection'],solution
Powder For Solution For I.V. Infusion,powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Solution for Injection (SC/IV),solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Orodispersible Tablet,orodispersible tablet,,,,
Solution For Injection/Infusion (SC/IV),solution for injection infusion sc iv,for injection infusion sc iv,"['sc', 'iv']","['infusion', 'injection']",
Powder for Solution for Injection (IM),powder for solution for injection im,for solution for injection im,['im'],['injection'],solution
Solution for Injection (SC) (For Pediatric Use),solution for injection sc for pediatric use,for injection sc for pediatric use,"['pediatric', 'sc']",['injection'],
Powder for Concentrate for solution for infusion,powder for concentrate for solution for infusion,for concentrate for solution for infusion,[],['infusion'],concentrate
Solution for I.V. Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Solution For Injection (IV),solution for injection iv,for injection iv,['iv'],['injection'],
Powder for Concentrate for Solution for Infusion,powder for concentrate for solution for infusion,for concentrate for solution for infusion,[],['infusion'],concentrate
Lyophilized Powder for SC Injection + Diluent,lyophilized powder for sc injection diluent,for sc injection diluent,['sc'],['injection'],
Suspension for Intramuscular Injection - Single Dose Syringe,suspension for intramuscular injection - single dose syringe,for intramuscular injection - single dose syringe,['intramuscular'],['injection'],
Solution for S.C. Injection,solution for sc injection,for sc injection,['sc'],['injection'],
Powder for Injection (IV),powder for injection iv,for injection iv,['iv'],['injection'],
Solution For Injection (SC/IV),solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Powder For Solution For Injection (Im/Sc),powder for solution for injection im sc,for solution for injection im sc,"['im', 'sc']",['injection'],solution
Powder For Solution For Injection (IM),powder for solution for injection im,for solution for injection im,['im'],['injection'],solution
Sterile Suspension For Injection ( Sc ),sterile suspension for injection sc,for injection sc,['sc'],['injection'],
Powder for Solution for IV Infusion,powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Solution for Infusion (IV),solution for infusion iv,for infusion iv,['iv'],['infusion'],
Solution for Injection (SC/IM),solution for injection sc im,for injection sc im,"['im', 'sc']",['injection'],
Solution For IV Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Solution For Injection (I.M./I.V./S.C.),solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Suspension For Injection (I.M./S.C.),suspension for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Suspension For Injection (Im/Sc),suspension for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution For Injection/ 5000 I.U.,solution for injection iu,for injection iu,[],['injection'],
Lyophilized Powder for Injection (SC),lyophilized powder for injection sc,for injection sc,['sc'],['injection'],
Lyophilized Powder for Solution for Injection (IM/SC),lyophilized powder for solution for injection im sc,for solution for injection im sc,"['im', 'sc']",['injection'],solution
Capsule,capsule,,,,
Solution for IM Injection,solution for im injection,for im injection,['im'],['injection'],
"Solution for Injection, Pre-Filled Pen (Mai)",solution for injection pre-filled pen mai,for injection pre-filled pen mai,[],['injection'],
Solution for Injection in Pre-filled Autoinjector,solution for injection in pre-filled autoinjector,for injection in pre-filled autoinjector,[],['injection'],
Pre-filled Syringe for Injection,pre-filled syringe for injection,for injection,[],['injection'],
Solution For Injection,solution for injection,for injection,[],['injection'],
Solution for Injection (Sc),solution for injection sc,for injection sc,['sc'],['injection'],
Tablet,tablet,,,,
PRE FILLED SYRINGE,pre filled syringe,,,,
Lyophilized Powder for Subcutaneous Injection,lyophilized powder for subcutaneous injection,for subcutaneous injection,['subcutaneous'],['injection'],
Concentration For I.V. Solution,concentration for iv solution,for iv solution,['iv'],[],solution
Suspension For Injection (IM/SC),suspension for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Powder And Solvent For Solution For Injection,powder and solvent for solution for injection,for solution for injection,[],['injection'],solution
Suspension For Injection (S.C.),suspension for injection sc,for injection sc,['sc'],['injection'],
Freeze-Dried Injection In A Vial,freeze-dried injection in a vial,,,,
Freeze-dried Powder for Oral Suspension,freeze-dried powder for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Suspension For Injection Im/Sc,suspension for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution For Intradermal Injection,solution for intradermal injection,for intradermal injection,['intradermal'],['injection'],
Concentrate for Solution for Infusion,concentrate for solution for infusion,for solution for infusion,[],['infusion'],solution
Concentrate For Solution For Infusion (Iv),concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Lyophilized Powder For Injection (S.C./I.M),lyophilized powder for injection sc im,for injection sc im,"['im', 'sc']",['injection'],
Suspension For Im Injection,suspension for im injection,for im injection,['im'],['injection'],
Solution For Injection (Iv/Sc),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Concentrate for Solution For Infusion (Iv),concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Solution for Injection (I.M./ S.C.),solution for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Powder for Concentrate Solution For Infusion (IV),powder for concentrate solution for infusion iv,for concentrate solution for infusion iv,['iv'],['infusion'],concentrate
Powder for Concentrate for Solution fro Infusion (IV),powder for concentrate for solution fro infusion iv,for concentrate for solution fro infusion iv,['iv'],['infusion'],concentrate
Solution For Injection (Sc/Iv),solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Powder and Solvent for Solution for Injection (SC),powder and solvent for solution for injection sc,for solution for injection sc,['sc'],['injection'],solution
Solution for Injection in Pre-filled Pen,solution for injection in pre-filled pen,for injection in pre-filled pen,[],['injection'],
"Solution for Injection 
(SC)",solution for injection sc,for injection sc,['sc'],['injection'],
Solution For Injection SC,solution for injection sc,for injection sc,['sc'],['injection'],
Suspension For Injection IM,suspension for injection im,for injection im,['im'],['injection'],
Solution For Injection (I.M),solution for injection im,for injection im,['im'],['injection'],
Sublingual Tablet,sublingual tablet,,,,
"Lyophilized Powder for Solution 
for Injection (IV)",lyophilized powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Lyophilized Powder for Solution for Injection (IV),lyophilized powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Lyophilized Powder for Injection (ID),lyophilized powder for injection id,for injection id,['id'],['injection'],
Suspension for Injection (SC) (30% Insulin Aspart and 70% Insulin Aspart Protamine),suspension for injection sc insulin aspart and insulin aspart protamine,for injection sc insulin aspart and insulin aspart protamine,['sc'],['injection'],
Cocentrate for Solution for IV Infusion,cocentrate for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Powder For Solution For Intratracheal Infusion,powder for solution for intratracheal infusion,for solution for intratracheal infusion,['intratracheal'],['infusion'],solution
Solution For Infusion IV,solution for infusion iv,for infusion iv,['iv'],['infusion'],
Solution For Injection (IM),solution for injection im,for injection im,['im'],['injection'],
"Suspension for Injection (SC) (30% 
Soluble Insulin and 70% Isophane Insulin)",suspension for injection sc soluble insulin and isophane insulin,for injection sc soluble insulin and isophane insulin,['sc'],['injection'],
Concentrate For Solution For I.V. Injection,concentrate for solution for iv injection,for solution for iv injection,['iv'],['injection'],solution
Powder for Concentrate for Solution for Infusion (IV),powder for concentrate for solution for infusion iv,for concentrate for solution for infusion iv,['iv'],['infusion'],concentrate
Intratracheal Suspension,intratracheal suspension,,,,
Lyophilized Powder for Injection (IV),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Oral Suspension,oral suspension,,,,
Solution for Injection (IV/IM/SC),solution for injection iv im sc,for injection iv im sc,"['im', 'sc', 'iv']",['injection'],
Solution for Injection (IM),solution for injection im,for injection im,['im'],['injection'],
Powder For Concentrate For Solution For Infusion (IV),powder for concentrate for solution for infusion iv,for concentrate for solution for infusion iv,['iv'],['infusion'],concentrate
"Powder for Concentrate for Solution for 
Infusion (IV)",powder for concentrate for solution for infusion iv,for concentrate for solution for infusion iv,['iv'],['infusion'],concentrate
Vascular Endothelial Growth Factor Inhibitors,vascular endothelial growth factor inhibitors,,,,
Concentrate For Solution Fo Infusion (IV),concentrate for solution fo infusion iv,for solution fo infusion iv,['iv'],['infusion'],solution
Powder for Injection (I.M./I.V.) (Monodose),powder for injection im iv monodose,for injection im iv monodose,"['im', 'iv']",['injection'],
Powder For Suspension,powder for suspension,for suspension,[],['suspension'],suspension
Suspension for Injection (IM) (Monodose),suspension for injection im monodose,for injection im monodose,['im'],['injection'],
Suspension for Injection (IM) (Pediatric-Single Dose),suspension for injection im pediatric-single dose,for injection im pediatric-single dose,"['pediatric', 'im']",['injection'],
Suspension for Injection (I.M.),suspension for injection im,for injection im,['im'],['injection'],
Lyophilized Powder for Injection (S.C.) Monodose (see formulation on reverse side),lyophilized powder for injection sc monodose see formulation on reverse side,for injection sc monodose see formulation on reverse side,['sc'],['injection'],
Lyophilized Powder for Injection (IM),lyophilized powder for injection im,for injection im,['im'],['injection'],
Suspension for Injection (IM) (Preservative free),suspension for injection im preservative free,for injection im preservative free,['im'],['injection'],
Suspension For Injection (I.M.)-Thiomersal Free,suspension for injection im-thiomersal free,for injection im-thiomersal free,['im'],['injection'],
Iv,iv,,,,
Freeze-Dried Powder For Suspension for Injection (S.C.),freeze-dried powder for suspension for injection sc,for suspension for injection sc,['sc'],"['injection', 'suspension']",suspension
Suspension For Injection (I.M),suspension for injection im,for injection im,['im'],['injection'],
Powder for Intravenous Injection or Infusion,powder for intravenous injection or infusion,for intravenous injection or infusion,['intravenous'],"['infusion', 'injection']",
Solution for Injection (I.V.),solution for injection iv,for injection iv,['iv'],['injection'],
Suspension For Injection(Im) Multidose,suspension for injectionim multidose,for injectionim multidose,[],[],
Solution for IV Injection (IV Infusion),solution for iv injection iv infusion,for iv injection iv infusion,['iv'],"['infusion', 'injection']",
Solution for Injection (IV),solution for injection iv,for injection iv,['iv'],['injection'],
Freeze-Dried Powder For Injection (Multidose) (SC),freeze-dried powder for injection multidose sc,for injection multidose sc,['sc'],['injection'],
Suspension For Injection (IM) (Multidose),suspension for injection im multidose,for injection im multidose,['im'],['injection'],
Freeze-Dried Powder For Injection (SC),freeze-dried powder for injection sc,for injection sc,['sc'],['injection'],
Oral Suspension and Effervescent Granules,oral suspension and effervescent granules,,,,
Suspension for IM Injection,suspension for im injection,for im injection,['im'],['injection'],
Suspension for Injection (IM) (Preservative-free),suspension for injection im preservative-free,for injection im preservative-free,['im'],['injection'],
2.5 IU/mL Lyophilized Powder for Injection (ID/IM),iu ml lyophilized powder for injection id im,for injection id im,"['im', 'id']",['injection'],
Lyophilized Powder For Injection,lyophilized powder for injection,for injection,[],['injection'],
Lyophilized Powder for Injection (IM/SC),lyophilized powder for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution For Iv Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Suspension For Injection(IM),suspension for injectionim,for injectionim,[],[],
Suspension for Injection(IM) (Multidose) (Adult),suspension for injectionim multidose adult,for injectionim multidose adult,[],[],
Freeze-Dried Powder For Injection (I.D.),freeze-dried powder for injection id,for injection id,['id'],['injection'],
Suspension For Injection (IM) Single Dose (Adult),suspension for injection im single dose adult,for injection im single dose adult,['im'],['injection'],
Solution For Injection (ID),solution for injection id,for injection id,['id'],['injection'],
Solution for Injection (IM.),solution for injection im,for injection im,['im'],['injection'],
Freeze-dried Powder for Injection (I.D.),freeze-dried powder for injection id,for injection id,['id'],['injection'],
Suspension for Injection (IM) (Pediatric),suspension for injection im pediatric,for injection im pediatric,"['pediatric', 'im']",['injection'],
Solution for Injection (ID),solution for injection id,for injection id,['id'],['injection'],
Freeze-Dried Powder For Intradermal Injection,freeze-dried powder for intradermal injection,for intradermal injection,['intradermal'],['injection'],
Solution For Injection (I.M.),solution for injection im,for injection im,['im'],['injection'],
Suspension for Injection IM,suspension for injection im,for injection im,['im'],['injection'],
Solution For Oral Administration - Single Dose,solution for oral administration - single dose,for oral administration - single dose,['oral'],[],
Suspension For Injection (I.M.),suspension for injection im,for injection im,['im'],['injection'],
Suspension For IM Injection,suspension for im injection,for im injection,['im'],['injection'],
Freeze Dried Powder For Injection (I.M./I.D.),freeze dried powder for injection im id,for injection im id,"['im', 'id']",['injection'],
0.5 mL Suspension for Injection (IM) - 2PE (See reverse for Formulation),ml suspension for injection im - pe see reverse for formulation,for injection im - pe see reverse for formulation,['im'],['injection'],
Solution For Infusion (Iv),solution for infusion iv,for infusion iv,['iv'],['infusion'],
Powder for Solution for Injection (S.C./I.M.),powder for solution for injection sc im,for solution for injection sc im,"['im', 'sc']",['injection'],solution
Lyophilized Powder For Injection (Id/Im),lyophilized powder for injection id im,for injection id im,"['im', 'id']",['injection'],
"Suspension For Injection (Deep I.M.), 2PE Free",suspension for injection deep im pe free,for injection deep im pe free,['im'],['injection'],
Deep S.C./I.M. Single Use,deep sc im single use,,,,
Enteric-Coated Capsule,enteric-coated capsule,,,,
Freeze -Dried Powder for Injection (IM/ID),freeze -dried powder for injection im id,for injection im id,"['im', 'id']",['injection'],
Solution for I.V. Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Solution For Injection(Sc),solution for injectionsc,for injectionsc,[],[],
Concentrate For Solution For I.V. Infusion,concentrate for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Solution For IV Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Power For Intravenous Infusion,power for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Solution For Injection (I.M./ S.C.),solution for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution for Infusion (IV/SC),solution for infusion iv sc,for infusion iv sc,"['sc', 'iv']",['infusion'],
Suspension for Injection (IM) - Single dose for Adolescent and Adult,suspension for injection im - single dose for adolescent and adult,for injection im - single dose for adolescent and adult,['im'],['injection'],
Concentrate For Solution For IV Injection,concentrate for solution for iv injection,for solution for iv injection,['iv'],['injection'],solution
"Concentrate for Solution 
for Infusion (IV)",concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Lyophilized Poweder For Injection (IM/SC),lyophilized poweder for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Suspension For Injection (IM)-Thiomersal Free,suspension for injection im-thiomersal free,for injection im-thiomersal free,['im'],['injection'],
Suspension for Injection (IM) - Thiomersal Free,suspension for injection im - thiomersal free,for injection im - thiomersal free,['im'],['injection'],
Solution For Iv/Sc Injection,solution for iv sc injection,for iv sc injection,"['sc', 'iv']",['injection'],
Solution for Injection for IV Infusion,solution for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder For Solution For Im Injection,lyophilized powder for solution for im injection,for solution for im injection,['im'],['injection'],solution
Solution for Injection (I.M./S.C.),solution for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Powder for Injection (SC),powder for injection sc,for injection sc,['sc'],['injection'],
Im,im,,,,
Powder and Solution For Injection (IM),powder and solution for injection im,for injection im,['im'],['injection'],
Solution for Injection IM,solution for injection im,for injection im,['im'],['injection'],
Lyophilized Powder For Injection (S.C.),lyophilized powder for injection sc,for injection sc,['sc'],['injection'],
Lyophilized powder for injection (SC),lyophilized powder for injection sc,for injection sc,['sc'],['injection'],
Lyophilized Powder For Intravesical Instillation,lyophilized powder for intravesical instillation,for intravesical instillation,['intravesical'],[],
Powder for Solution for Injection (IV Infusion),powder for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
Solution For Injection (Sc/IV),solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Lyophilized Powder for Solution for Injection (S.C.),lyophilized powder for solution for injection sc,for solution for injection sc,['sc'],['injection'],solution
Solution For Injection (Iv Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Suspension For Oral Use,suspension for oral use,for oral use,['oral'],[],
Lyophilized Powder for Intramuscular or Subcutaneous Injection,lyophilized powder for intramuscular or subcutaneous injection,for intramuscular or subcutaneous injection,"['intramuscular', 'subcutaneous']",['injection'],
Solution For Injection (S.C),solution for injection sc,for injection sc,['sc'],['injection'],
Topical Solution (Spray),topical solution spray,,,,
Ointment,ointment,,,,
Lyophilized Powder For Injection ( S.C ),lyophilized powder for injection sc,for injection sc,['sc'],['injection'],
Lyophilized Powder For Injection (Im/Sc),lyophilized powder for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Concentrate For Solution For Iv Infusion/ 20Mg/Ml,concentrate for solution for iv infusion mg ml,for solution for iv infusion mg ml,['iv'],['infusion'],solution
Solution For Injection (Iv),solution for injection iv,for injection iv,['iv'],['injection'],
Suspension (Oral Drops),suspension oral drops,,,,
Solution For Infusion,solution for infusion,for infusion,[],['infusion'],
Freeze- Dried Powder For Injection ( S.C ),freeze- dried powder for injection sc,for injection sc,['sc'],['injection'],
Solution for Injection (IVT),solution for injection ivt,for injection ivt,['ivt'],['injection'],
Solution for Intravitreal Injection,solution for intravitreal injection,for intravitreal injection,['intravitreal'],['injection'],
Lyophilized Powder For Intramuscular Or Subcutaneous Injection,lyophilized powder for intramuscular or subcutaneous injection,for intramuscular or subcutaneous injection,"['intramuscular', 'subcutaneous']",['injection'],
Freeze-dried Powder for Injection (SC),freeze-dried powder for injection sc,for injection sc,['sc'],['injection'],
Lyophilized Powder for Solution for Injection (IM),lyophilized powder for solution for injection im,for solution for injection im,['im'],['injection'],solution
Concentrate for Solution for Injection (IV Infusion),concentrate for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
Suspension (Oral),suspension oral,,,,
Solution For Intravenous Infusion,solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Solution For SC Injection,solution for sc injection,for sc injection,['sc'],['injection'],
Powder For Conc. For Sol'N For Iv Infusion,powder for conc for soln for iv infusion,for conc for soln for iv infusion,['iv'],['infusion'],conc
"Lyophilized Powder For Solution 
for Injection (SC)",lyophilized powder for solution for injection sc,for solution for injection sc,['sc'],['injection'],solution
Suspension For Injection (Sc),suspension for injection sc,for injection sc,['sc'],['injection'],
"Freeze-Dried Powder for Solution for Injection 
(IM/SC)",freeze-dried powder for solution for injection im sc,for solution for injection im sc,"['im', 'sc']",['injection'],solution
Freeze-Dried Powder for Solution for IM/SC Injection,freeze-dried powder for solution for im sc injection,for solution for im sc injection,"['im', 'sc']",['injection'],solution
Lyophilized Powder For Injection (Sc),lyophilized powder for injection sc,for injection sc,['sc'],['injection'],
Lyophilized Powder for Solution for Injection,lyophilized powder for solution for injection,for solution for injection,[],['injection'],solution
Lyophilized Powder for Solution for Injection (IM / SC),lyophilized powder for solution for injection im sc,for solution for injection im sc,"['im', 'sc']",['injection'],solution
Vial,vial,,,,
Lyophilized Solution for Injection,lyophilized solution for injection,for injection,[],['injection'],
Suspension for Injection (I.M),suspension for injection im,for injection im,['im'],['injection'],
Solution For Injection (Im-Iv-Sc),solution for injection im-iv-sc,for injection im-iv-sc,"['im', 'sc', 'iv']",['injection'],
Solution For Injection (Iv)/ 5000 Iu/Ml (25000 Iu/Ml),solution for injection iv iu ml iu ml,for injection iv iu ml iu ml,['iv'],['injection'],
Solution For Injection (Iv)/ 1000 Iu/Ml (5000 Iu/5 Ml),solution for injection iv iu ml iu ml,for injection iv iu ml iu ml,['iv'],['injection'],
Enoxaparin Sodium,enoxaparin sodium,,,,
Powder For Injection (I.V.),powder for injection iv,for injection iv,['iv'],['injection'],
Suspension for Injection,suspension for injection,for injection,[],['injection'],
Solution for Infusion (I.V.),solution for infusion iv,for infusion iv,['iv'],['infusion'],
Solution For Injection (Im/Sc),solution for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution for Infusion IV,solution for infusion iv,for infusion iv,['iv'],['infusion'],
Solution For Infusion (I.V.),solution for infusion iv,for infusion iv,['iv'],['infusion'],
Lyophilized Powder For Injection (Iv),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
"Suspension for Injection (SC)
(30% Regular Insulin Human/70% Isophane Insulin Human)",suspension for injection sc regular insulin human isophane insulin human,for injection sc regular insulin human isophane insulin human,['sc'],['injection'],
Suspension for Injection (SC) (30% Regular Insulin Human/70% Isophane Insulin Human),suspension for injection sc regular insulin human isophane insulin human,for injection sc regular insulin human isophane insulin human,['sc'],['injection'],
Powder For Oral Suspension,powder for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Solution For Injection (Iv/SC),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution For Injection (I.V/S.C),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Powder For Solution For Injection (Sc),powder for solution for injection sc,for solution for injection sc,['sc'],['injection'],solution
