original,tokenized,drug_format
Lyophilized Powder for Concentrate Solution for IV Infusion,lyophilized powder for concentrate solution for iv infusion,powder
Solution For Injection (Sc),solution for injection sc,solution
Suspension For Injection (Im),suspension for injection im,suspension
Lyophilized Powder For Injection IV,lyophilized powder for injection iv,powder
Suspension for Injection (IM/SC),suspension for injection im sc,suspension
lyophilized powder for solution for injection,lyophilized powder for solution for injection,powder
Powder For Solution For Intravenous Infusion,powder for solution for intravenous infusion,powder
Lyophilized Powder For Injection (SC),lyophilized powder for injection sc,powder
Solution For Injection (S.C.),solution for injection sc,solution
Suspension for Injection (IM/IV/SC),suspension for injection im iv sc,suspension
Solution for Injection (I.V. / S.C.),solution for injection iv sc,solution
Solution for Injection (IV / SC),solution for injection iv sc,solution
Powder For Solution For Injection (SC),powder for solution for injection sc,powder
Suspension For Injection (IM),suspension for injection im,suspension
Powder for Solution for S.C. Injection,powder for solution for sc injection,powder
Powder for Injection (IM),powder for injection im,powder
Concentrate For Solution For Infusion (IV),concentrate for solution for infusion iv,concentrate
Solution for Injection (IV Infusion),solution for injection iv infusion,solution
Powder for Solution for Injection (SC),powder for solution for injection sc,powder
Suspension for Injection (SC) [1 mL of suspension contains 100 units soluble insulin aspart/protamine-crystallized insulin aspart in the ratio 50/50 (equivalent to 3.5 mg)],suspension for injection sc ml of suspension contains units soluble insulin aspart protamine-crystallized insulin aspart in the ratio equivalent to mg,suspension
Solution For Injection (S.C./I.M.),solution for injection sc im,solution
Lyophilized Powder for Injection (IV/SC),lyophilized powder for injection iv sc,powder
Powder For Concentrate For Solution For Infusion,powder for concentrate for solution for infusion,powder
Solution for IV Infusion,solution for iv infusion,solution
Suspension for Injection (Deep Subcutaneous/I.M.),suspension for injection deep subcutaneous im,suspension
Suspension for Injection (SC),suspension for injection sc,suspension
Solution for Injection (Intravitreal),solution for injection intravitreal,solution
Solution for Injection (S.C.),solution for injection sc,solution
Concentrate for Solution for IV Infusion,concentrate for solution for iv infusion,concentrate
Hard Vaginal Capsule,hard vaginal capsule,capsule
Powder for Solution for Intravenous Injection,powder for solution for intravenous injection,powder
Powder For Solution For I.V. Infusion,powder for solution for iv infusion,powder
Solution for Injection (SC/IV),solution for injection sc iv,solution
Orodispersible Tablet,orodispersible tablet,tablet
Solution For Injection/Infusion (SC/IV),solution for injection infusion sc iv,solution
Powder for Solution for Injection (IM),powder for solution for injection im,powder
Solution for Injection (SC) (For Pediatric Use),solution for injection sc for pediatric use,solution
Powder for Concentrate for solution for infusion,powder for concentrate for solution for infusion,powder
Solution for I.V. Infusion,solution for iv infusion,solution
Solution For Injection (IV),solution for injection iv,solution
Powder for Concentrate for Solution for Infusion,powder for concentrate for solution for infusion,powder
Lyophilized Powder for SC Injection + Diluent,lyophilized powder for sc injection diluent,powder
Suspension for Intramuscular Injection - Single Dose Syringe,suspension for intramuscular injection - single dose syringe,suspension
Solution for S.C. Injection,solution for sc injection,solution
Powder for Injection (IV),powder for injection iv,powder
Solution For Injection (SC/IV),solution for injection sc iv,solution
Powder For Solution For Injection (Im/Sc),powder for solution for injection im sc,powder
Powder For Solution For Injection (IM),powder for solution for injection im,powder
Sterile Suspension For Injection ( Sc ),sterile suspension for injection sc,suspension
Powder for Solution for IV Infusion,powder for solution for iv infusion,powder
Solution for Infusion (IV),solution for infusion iv,solution
Solution for Injection (SC/IM),solution for injection sc im,solution
Solution For IV Infusion,solution for iv infusion,solution
Solution For Injection (I.M./I.V./S.C.),solution for injection im iv sc,solution
Suspension For Injection (I.M./S.C.),suspension for injection im sc,suspension
Suspension For Injection (Im/Sc),suspension for injection im sc,suspension
Solution For Injection/ 5000 I.U.,solution for injection iu,solution
Lyophilized Powder for Injection (SC),lyophilized powder for injection sc,powder
Lyophilized Powder for Solution for Injection (IM/SC),lyophilized powder for solution for injection im sc,powder
Capsule,capsule,capsule
Solution for IM Injection,solution for im injection,solution
"Solution for Injection, Pre-Filled Pen (Mai)",solution for injection pre-filled pen mai,solution
Solution for Injection in Pre-filled Autoinjector,solution for injection in pre-filled autoinjector,solution
Pre-filled Syringe for Injection,pre-filled syringe for injection,syringe
Solution For Injection,solution for injection,solution
Solution for Injection (Sc),solution for injection sc,solution
Tablet,tablet,tablet
PRE FILLED SYRINGE,pre filled syringe,syringe
Lyophilized Powder for Subcutaneous Injection,lyophilized powder for subcutaneous injection,powder
Concentration For I.V. Solution,concentration for iv solution,solution
Suspension For Injection (IM/SC),suspension for injection im sc,suspension
Powder And Solvent For Solution For Injection,powder and solvent for solution for injection,powder
Suspension For Injection (S.C.),suspension for injection sc,suspension
Freeze-Dried Injection In A Vial,freeze-dried injection in a vial,vial
Freeze-dried Powder for Oral Suspension,freeze-dried powder for oral suspension,powder
Suspension For Injection Im/Sc,suspension for injection im sc,suspension
Solution For Intradermal Injection,solution for intradermal injection,solution
Concentrate for Solution for Infusion,concentrate for solution for infusion,concentrate
Concentrate For Solution For Infusion (Iv),concentrate for solution for infusion iv,concentrate
Lyophilized Powder For Injection (S.C./I.M),lyophilized powder for injection sc im,powder
Suspension For Im Injection,suspension for im injection,suspension
Solution For Injection (Iv/Sc),solution for injection iv sc,solution
Concentrate for Solution For Infusion (Iv),concentrate for solution for infusion iv,concentrate
Solution for Injection (I.M./ S.C.),solution for injection im sc,solution
Powder for Concentrate Solution For Infusion (IV),powder for concentrate solution for infusion iv,powder
Powder for Concentrate for Solution fro Infusion (IV),powder for concentrate for solution fro infusion iv,powder
Solution For Injection (Sc/Iv),solution for injection sc iv,solution
Powder and Solvent for Solution for Injection (SC),powder and solvent for solution for injection sc,powder
Solution for Injection in Pre-filled Pen,solution for injection in pre-filled pen,solution
"Solution for Injection 
(SC)",solution for injection sc,solution
Solution For Injection SC,solution for injection sc,solution
Suspension For Injection IM,suspension for injection im,suspension
Solution For Injection (I.M),solution for injection im,solution
Sublingual Tablet,sublingual tablet,tablet
"Lyophilized Powder for Solution 
for Injection (IV)",lyophilized powder for solution for injection iv,powder
Lyophilized Powder for Solution for Injection (IV),lyophilized powder for solution for injection iv,powder
Lyophilized Powder for Injection (ID),lyophilized powder for injection id,powder
Suspension for Injection (SC) (30% Insulin Aspart and 70% Insulin Aspart Protamine),suspension for injection sc insulin aspart and insulin aspart protamine,suspension
Cocentrate for Solution for IV Infusion,cocentrate for solution for iv infusion,solution
Powder For Solution For Intratracheal Infusion,powder for solution for intratracheal infusion,powder
Solution For Infusion IV,solution for infusion iv,solution
Solution For Injection (IM),solution for injection im,solution
"Suspension for Injection (SC) (30% 
Soluble Insulin and 70% Isophane Insulin)",suspension for injection sc soluble insulin and isophane insulin,suspension
Concentrate For Solution For I.V. Injection,concentrate for solution for iv injection,concentrate
Powder for Concentrate for Solution for Infusion (IV),powder for concentrate for solution for infusion iv,powder
Intratracheal Suspension,intratracheal suspension,suspension
Lyophilized Powder for Injection (IV),lyophilized powder for injection iv,powder
Oral Suspension,oral suspension,suspension
Solution for Injection (IV/IM/SC),solution for injection iv im sc,solution
Solution for Injection (IM),solution for injection im,solution
Powder For Concentrate For Solution For Infusion (IV),powder for concentrate for solution for infusion iv,powder
"Powder for Concentrate for Solution for 
Infusion (IV)",powder for concentrate for solution for infusion iv,powder
Vascular Endothelial Growth Factor Inhibitors,vascular endothelial growth factor inhibitors,
Concentrate For Solution Fo Infusion (IV),concentrate for solution fo infusion iv,concentrate
Powder for Injection (I.M./I.V.) (Monodose),powder for injection im iv monodose,powder
Powder For Suspension,powder for suspension,powder
Suspension for Injection (IM) (Monodose),suspension for injection im monodose,suspension
Suspension for Injection (IM) (Pediatric-Single Dose),suspension for injection im pediatric-single dose,suspension
Suspension for Injection (I.M.),suspension for injection im,suspension
Lyophilized Powder for Injection (S.C.) Monodose (see formulation on reverse side),lyophilized powder for injection sc monodose see formulation on reverse side,powder
Lyophilized Powder for Injection (IM),lyophilized powder for injection im,powder
Suspension for Injection (IM) (Preservative free),suspension for injection im preservative free,suspension
Suspension For Injection (I.M.)-Thiomersal Free,suspension for injection im-thiomersal free,suspension
Iv,iv,
Freeze-Dried Powder For Suspension for Injection (S.C.),freeze-dried powder for suspension for injection sc,powder
Suspension For Injection (I.M),suspension for injection im,suspension
Powder for Intravenous Injection or Infusion,powder for intravenous injection or infusion,powder
Solution for Injection (I.V.),solution for injection iv,solution
Suspension For Injection(Im) Multidose,suspension for injectionim multidose,suspension
Solution for IV Injection (IV Infusion),solution for iv injection iv infusion,solution
Solution for Injection (IV),solution for injection iv,solution
Freeze-Dried Powder For Injection (Multidose) (SC),freeze-dried powder for injection multidose sc,powder
Suspension For Injection (IM) (Multidose),suspension for injection im multidose,suspension
Freeze-Dried Powder For Injection (SC),freeze-dried powder for injection sc,powder
Oral Suspension and Effervescent Granules,oral suspension and effervescent granules,suspension
Suspension for IM Injection,suspension for im injection,suspension
Suspension for Injection (IM) (Preservative-free),suspension for injection im preservative-free,suspension
2.5 IU/mL Lyophilized Powder for Injection (ID/IM),iu ml lyophilized powder for injection id im,powder
Lyophilized Powder For Injection,lyophilized powder for injection,powder
Lyophilized Powder for Injection (IM/SC),lyophilized powder for injection im sc,powder
Solution For Iv Infusion,solution for iv infusion,solution
Suspension For Injection(IM),suspension for injectionim,suspension
Suspension for Injection(IM) (Multidose) (Adult),suspension for injectionim multidose adult,suspension
Freeze-Dried Powder For Injection (I.D.),freeze-dried powder for injection id,powder
Suspension For Injection (IM) Single Dose (Adult),suspension for injection im single dose adult,suspension
Solution For Injection (ID),solution for injection id,solution
Solution for Injection (IM.),solution for injection im,solution
Freeze-dried Powder for Injection (I.D.),freeze-dried powder for injection id,powder
Suspension for Injection (IM) (Pediatric),suspension for injection im pediatric,suspension
Solution for Injection (ID),solution for injection id,solution
Freeze-Dried Powder For Intradermal Injection,freeze-dried powder for intradermal injection,powder
Solution For Injection (I.M.),solution for injection im,solution
Suspension for Injection IM,suspension for injection im,suspension
Solution For Oral Administration - Single Dose,solution for oral administration - single dose,solution
Suspension For Injection (I.M.),suspension for injection im,suspension
Suspension For IM Injection,suspension for im injection,suspension
Freeze Dried Powder For Injection (I.M./I.D.),freeze dried powder for injection im id,powder
0.5 mL Suspension for Injection (IM) - 2PE (See reverse for Formulation),ml suspension for injection im - pe see reverse for formulation,suspension
Solution For Infusion (Iv),solution for infusion iv,solution
Powder for Solution for Injection (S.C./I.M.),powder for solution for injection sc im,powder
Lyophilized Powder For Injection (Id/Im),lyophilized powder for injection id im,powder
"Suspension For Injection (Deep I.M.), 2PE Free",suspension for injection deep im pe free,suspension
Deep S.C./I.M. Single Use,deep sc im single use,
Enteric-Coated Capsule,enteric-coated capsule,capsule
Freeze -Dried Powder for Injection (IM/ID),freeze -dried powder for injection im id,powder
Solution for I.V. Injection,solution for iv injection,solution
Solution For Injection(Sc),solution for injectionsc,solution
Concentrate For Solution For I.V. Infusion,concentrate for solution for iv infusion,concentrate
Solution For IV Injection,solution for iv injection,solution
Power For Intravenous Infusion,power for intravenous infusion,powder
Solution For Injection (I.M./ S.C.),solution for injection im sc,solution
Solution for Infusion (IV/SC),solution for infusion iv sc,solution
Suspension for Injection (IM) - Single dose for Adolescent and Adult,suspension for injection im - single dose for adolescent and adult,suspension
Concentrate For Solution For IV Injection,concentrate for solution for iv injection,concentrate
"Concentrate for Solution 
for Infusion (IV)",concentrate for solution for infusion iv,concentrate
Lyophilized Poweder For Injection (IM/SC),lyophilized poweder for injection im sc,powder
Suspension For Injection (IM)-Thiomersal Free,suspension for injection im-thiomersal free,suspension
Suspension for Injection (IM) - Thiomersal Free,suspension for injection im - thiomersal free,suspension
Solution For Iv/Sc Injection,solution for iv sc injection,solution
Solution for Injection for IV Infusion,solution for injection for iv infusion,solution
Lyophilized Powder For Solution For Im Injection,lyophilized powder for solution for im injection,powder
Solution for Injection (I.M./S.C.),solution for injection im sc,solution
Powder for Injection (SC),powder for injection sc,powder
Im,im,
Powder and Solution For Injection (IM),powder and solution for injection im,powder
Solution for Injection IM,solution for injection im,solution
Lyophilized Powder For Injection (S.C.),lyophilized powder for injection sc,powder
Lyophilized powder for injection (SC),lyophilized powder for injection sc,powder
Lyophilized Powder For Intravesical Instillation,lyophilized powder for intravesical instillation,powder
Powder for Solution for Injection (IV Infusion),powder for solution for injection iv infusion,powder
Solution For Injection (Sc/IV),solution for injection sc iv,solution
Lyophilized Powder for Solution for Injection (S.C.),lyophilized powder for solution for injection sc,powder
Solution For Injection (Iv Infusion),solution for injection iv infusion,solution
Suspension For Oral Use,suspension for oral use,suspension
Lyophilized Powder for Intramuscular or Subcutaneous Injection,lyophilized powder for intramuscular or subcutaneous injection,powder
Solution For Injection (S.C),solution for injection sc,solution
Topical Solution (Spray),topical solution spray,solution
Ointment,ointment,ointment
Lyophilized Powder For Injection ( S.C ),lyophilized powder for injection sc,powder
Lyophilized Powder For Injection (Im/Sc),lyophilized powder for injection im sc,powder
Concentrate For Solution For Iv Infusion/ 20Mg/Ml,concentrate for solution for iv infusion mg ml,concentrate
Solution For Injection (Iv),solution for injection iv,solution
Suspension (Oral Drops),suspension oral drops,suspension
Solution For Infusion,solution for infusion,solution
Freeze- Dried Powder For Injection ( S.C ),freeze- dried powder for injection sc,powder
Solution for Injection (IVT),solution for injection ivt,solution
Solution for Intravitreal Injection,solution for intravitreal injection,solution
Lyophilized Powder For Intramuscular Or Subcutaneous Injection,lyophilized powder for intramuscular or subcutaneous injection,powder
Freeze-dried Powder for Injection (SC),freeze-dried powder for injection sc,powder
Lyophilized Powder for Solution for Injection (IM),lyophilized powder for solution for injection im,powder
Concentrate for Solution for Injection (IV Infusion),concentrate for solution for injection iv infusion,concentrate
Suspension (Oral),suspension oral,suspension
Solution For Intravenous Infusion,solution for intravenous infusion,solution
Solution For SC Injection,solution for sc injection,solution
Powder For Conc. For Sol'N For Iv Infusion,powder for conc for soln for iv infusion,powder
"Lyophilized Powder For Solution 
for Injection (SC)",lyophilized powder for solution for injection sc,powder
Suspension For Injection (Sc),suspension for injection sc,suspension
"Freeze-Dried Powder for Solution for Injection 
(IM/SC)",freeze-dried powder for solution for injection im sc,powder
Freeze-Dried Powder for Solution for IM/SC Injection,freeze-dried powder for solution for im sc injection,powder
Lyophilized Powder For Injection (Sc),lyophilized powder for injection sc,powder
Lyophilized Powder for Solution for Injection,lyophilized powder for solution for injection,powder
Lyophilized Powder for Solution for Injection (IM / SC),lyophilized powder for solution for injection im sc,powder
Vial,vial,vial
Lyophilized Solution for Injection,lyophilized solution for injection,solution
Suspension for Injection (I.M),suspension for injection im,suspension
Solution For Injection (Im-Iv-Sc),solution for injection im-iv-sc,solution
Solution For Injection (Iv)/ 5000 Iu/Ml (25000 Iu/Ml),solution for injection iv iu ml iu ml,solution
Solution For Injection (Iv)/ 1000 Iu/Ml (5000 Iu/5 Ml),solution for injection iv iu ml iu ml,solution
Enoxaparin Sodium,enoxaparin sodium,
Powder For Injection (I.V.),powder for injection iv,powder
Suspension for Injection,suspension for injection,suspension
Solution for Infusion (I.V.),solution for infusion iv,solution
Solution For Injection (Im/Sc),solution for injection im sc,solution
Solution for Infusion IV,solution for infusion iv,solution
Solution For Infusion (I.V.),solution for infusion iv,solution
Lyophilized Powder For Injection (Iv),lyophilized powder for injection iv,powder
"Suspension for Injection (SC)
(30% Regular Insulin Human/70% Isophane Insulin Human)",suspension for injection sc regular insulin human isophane insulin human,suspension
Suspension for Injection (SC) (30% Regular Insulin Human/70% Isophane Insulin Human),suspension for injection sc regular insulin human isophane insulin human,suspension
Powder For Oral Suspension,powder for oral suspension,powder
Solution For Injection (Iv/SC),solution for injection iv sc,solution
Solution For Injection (I.V/S.C),solution for injection iv sc,solution
Powder For Solution For Injection (Sc),powder for solution for injection sc,powder
Lyophilized Powder For Solution For Injection (Im/Id),lyophilized powder for solution for injection im id,powder
Powder for Injection (IM/SC),powder for injection im sc,powder
Solution For Injection (Equine),solution for injection equine,solution
Solution For Injection (Iv / Sc),solution for injection iv sc,solution
Solution for Injection IV / SC,solution for injection iv sc,solution
Solution For Injection(IV/SC),solution for injectioniv sc,solution
Solution For Injection(Iv/Sc),solution for injectioniv sc,solution
Solution for Infusion,solution for infusion,solution
Solution For Injection SC / IV,solution for injection sc iv,solution
Solution For Injection (I.V.),solution for injection iv,solution
Solution For Injection I.M,solution for injection im,solution
Solultion For Injection (IV/SC),solultion for injection iv sc,
Powder for Solution for Injection (IM/SC),powder for solution for injection im sc,powder
Powder for Suspension (Oral Drops),powder for suspension oral drops,powder
"Concentrate for Solution for Infusion 
(IV)",concentrate for solution for infusion iv,concentrate
Concentrate For Solution For Injection,concentrate for solution for injection,concentrate
Concentrate for Solution For Infusion (IV),concentrate for solution for infusion iv,concentrate
"Solution for Injection 
(IV/SC)",solution for injection iv sc,solution
"Solution for Injection 
(IV)",solution for injection iv,solution
"Concentrate for Solution 
for Injection (IV Infusion)",concentrate for solution for injection iv infusion,concentrate
Solution for injection (IV/SC),solution for injection iv sc,solution
"Solution for 
Injection (IV/SC",solution for injection iv sc,solution
Solution for Injection (IM/IV),solution for injection im iv,solution
"Solution For Injection (I.V., S.C.)",solution for injection iv sc,solution
"Solution for 
Injection (SC",solution for injection sc,solution
"Solution for 
Injection (SC/IV)",solution for injection sc iv,solution
Film-Coated Tablets,film-coated tablets,tablet
Film-Coated Tablet,film-coated tablet,tablet
Film-coated Tablet,film-coated tablet,tablet
"Concentrate for Solution for 
Infusion (IV)",concentrate for solution for infusion iv,concentrate
Film Coated Tablet,film coated tablet,tablet
Sugar Coated Tablet,sugar coated tablet,tablet
Film Coated Tablets,film coated tablets,tablet
Film-Coated Tab,film-coated tab,tablet
Solution for Injection (IV/IM),solution for injection iv im,solution
Solution for Injection (I.V./I.M.),solution for injection iv im,solution
Film-coated tablet,film-coated tablet,tablet
Solution for Injection (I.M./I.V.),solution for injection im iv,solution
"Solution for Injection 
(I.M./I.V.)",solution for injection im iv,solution
Solution For Injection (I.V./I.M.),solution for injection iv im,solution
Film- Coated Tablet,film- coated tablet,tablet
Solution for Injection (I.V./I.M.,solution for injection iv im,solution
Solution For Injection (Im/Iv),solution for injection im iv,solution
Solution For Injection (I.M./I.V.),solution for injection im iv,solution
"Solution for Injection 
(I.V./I.M./Intrasynovial)",solution for injection iv im intrasynovial,solution
Film- coated tablet,film- coated tablet,tablet
Lyophilized Powder for Injection (I.V.),lyophilized powder for injection iv,powder
Lyophilized Powder for Solution for Infusion (I.V.),lyophilized powder for solution for infusion iv,powder
Lyophilized Powder for Solution for Infusion (IV),lyophilized powder for solution for infusion iv,powder
Lyophilized Powder for Injection for I.V. Infusion,lyophilized powder for injection for iv infusion,powder
"Lyophilized Powder for Injection for I.V. 
Infusion",lyophilized powder for injection for iv infusion,powder
"Lyophilized Powder for Solution for Infusion 
(I.V.)",lyophilized powder for solution for infusion iv,powder
Lyophilized Powder For solution for Infusion (IV),lyophilized powder for solution for infusion iv,powder
Powder For Injection (I.M./I.V.),powder for injection im iv,powder
Syrup,syrup,syrup
Cream,cream,cream
Sterile Suspension (Opthalmic Drops),sterile suspension opthalmic drops,suspension
Solution For Injection (IV/IM),solution for injection iv im,solution
Otic Solution,otic solution,solution
Suspension,suspension,suspension
Pump Spray,pump spray,spray
Topical Cream,topical cream,cream
Elixir (Pediatric/Geriatric),elixir pediatric geriatric,elixir
Extended Release Tablet,extended release tablet,tablet
Powder For Injection (Im/Iv),powder for injection im iv,powder
Lotion,lotion,lotion
Vaginal Suppository,vaginal suppository,suppository
Sterile Powder For Injection (I.M./I.V.),sterile powder for injection im iv,powder
Solution for Injection (I.M.),solution for injection im,solution
Powder for Injection ( IM / IV,powder for injection im iv,powder
Solution For Injection (Im/ Iv),solution for injection im iv,solution
Powder for Suspension,powder for suspension,powder
Solution For Iv Injection,solution for iv injection,solution
Topical Ointment,topical ointment,ointment
Solution For Injection (IM/IV),solution for injection im iv,solution
Solution for IV infusion,solution for iv infusion,solution
"1,500 I.U. 100 I.U. 8.330 mg 4.160 mg 1.670 mg 8.330 mcg 8.330 mcg 1.66 mg 83.330 mg",iu iu mg mg mg mcg mcg mg mg,
Sugar-Coated Tablet,sugar-coated tablet,tablet
Liquid,liquid,liquid
Jelly,jelly,jelly
OINTMENT,ointment,ointment
Pediatric Syrup,pediatric syrup,syrup
Rectal Suppository,rectal suppository,suppository
Topical Solution,topical solution,solution
Powder For Suspension (Oral Drops),powder for suspension oral drops,powder
Solution For Scalp Application,solution for scalp application,solution
Sterile  Solution For Injection (IM/IV/SC),sterile solution for injection im iv sc,solution
Solution For Injection (I.M. / I.V.),solution for injection im iv,solution
Syrup (Oral Drops),syrup oral drops,syrup
Liquid Enema,liquid enema,liquid
Sustained Release Tablet,sustained release tablet,suspension
Chewable Tablet,chewable tablet,tablet
Granules for Suspension,granules for suspension,suspension
vial,vial,vial
Softgel Capsule,softgel capsule,capsule
Ear Drops,ear drops,drops
capsule,capsule,capsule
Powder for Oral Suspension,powder for oral suspension,powder
Sterile Ophthalmic Solution,sterile ophthalmic solution,solution
Sterile Eye Drops,sterile eye drops,drops
Sterile Powder for Injection (I.M./ I.V.),sterile powder for injection im iv,powder
Powder For Suspension (Strawberry Flavor),powder for suspension strawberry flavor,powder
Powder for Injection,powder for injection,powder
Elixir/Syrup,elixir syrup,syrup
Metered Dose Inhaler,metered dose inhaler,inhaler
Solution For  Injection IV,solution for injection iv,solution
Syrup (Oral drops),syrup oral drops,syrup
"Solution for Injection (Epidural, Intrathecal, 
Peripheral, Local Infiltration and Peribulbar Block)",solution for injection epidural intrathecal peripheral local infiltration and peribulbar block,solution
Solution for Subcutaneous Injection,solution for subcutaneous injection,solution
Sterile Ophthalmic Suspension,sterile ophthalmic suspension,suspension
Topical Gel,topical gel,
Controlled-Release Tablet,controlled-release tablet,tablet
Concentrate for Solution for Intravenous InfusionSolution for Injection,concentrate for solution for intravenous infusionsolution for injection,concentrate
Sterile Ophthalmic Solution (Eye Drops),sterile ophthalmic solution eye drops,solution
Suppository,suppository,suppository
Elixir,elixir,elixir
Emollient Cream,emollient cream,cream
Powder For Injection (Iv),powder for injection iv,powder
Powder for Suspension (Drops),powder for suspension drops,powder
"Solution for Injection (Epidural, Local Infiltration)",solution for injection epidural local infiltration,solution
Syrup (Drops),syrup drops,syrup
Solution For I.V. Infusion,solution for iv infusion,solution
Powder For Iv Infusion,powder for iv infusion,powder
Ophthalmic/Otic Suspension (Drops),ophthalmic otic suspension drops,suspension
Otic Suspension (Drops),otic suspension drops,suspension
"Tablet, sustained release",tablet sustained release,suspension
"Tablet, long acting",tablet long acting,tablet
Modified-Release Tablet,modified-release tablet,tablet
Modified Release Tablet,modified release tablet,tablet
Solution for infusion (IV),solution for infusion iv,solution
Solution for Iv Infusion,solution for iv infusion,solution
Ophthalmic Suspension,ophthalmic suspension,suspension
Solution for I.V Infusion,solution for iv infusion,solution
Solution for Inhalation,solution for inhalation,solution
Syrup (Strawberry Flavor),syrup strawberry flavor,syrup
Sterile Ophthalmic Solution (Drops),sterile ophthalmic solution drops,solution
Buffered Solutions (Nasal Drops),buffered solutions nasal drops,solution
Oral Solution,oral solution,solution
Ophthalmic Solution,ophthalmic solution,solution
Not Applicable,not applicable,
Powder for Inhalation,powder for inhalation,powder
Nebulizing Suspension (Sterile),nebulizing suspension sterile,suspension
Dialysis Solution,dialysis solution,solution
Strerile Water for Injection,strerile water for injection,
Ophthalmic Ointment,ophthalmic ointment,ointment
cream,cream,cream
Oral Gel,oral gel,
Medicated Oil,medicated oil,oil
Ophthalmic Solution (Eye Drops),ophthalmic solution eye drops,solution
Ophthalmic Suspension (Drops),ophthalmic suspension drops,suspension
Granules For Suspension,granules for suspension,suspension
Solution For Iv Solution,solution for iv solution,solution
Powder For Injection,powder for injection,powder
Solution,solution,solution
Susupension,susupension,suspension
Powder for Injection (IM/SC) [Sustained Release],powder for injection im sc sustained release,powder
Solution for Injection (IV or Intravesical),solution for injection iv or intravesical,solution
Granules For Oral Suspension,granules for oral suspension,suspension
Sterile Ophthalmic Ointment,sterile ophthalmic ointment,ointment
Suspension For Injection (Im/ Intra-Articular/  IntraBursal/ Periarticular/ Intralesional),suspension for injection im intra-articular intrabursal periarticular intralesional,suspension
Solution for Injection (IM / IV),solution for injection im iv,solution
Solution for Injection (1.M./I.V.),solution for injection m iv,solution
Solution (amber bottle x 30mL),solution amber bottle x ml,solution
SOLUTION (Nail Lacquer),solution nail lacquer,solution
Suspension For Intratracheal Administration,suspension for intratracheal administration,suspension
Lyophilized Powder For Injection (I.V.),lyophilized powder for injection iv,powder
Aqueous Nasal Spray,aqueous nasal spray,spray
GRANULES FOR SUSPENSION,granules for suspension,suspension
Powder for Intravenous (IV) Infusion,powder for intravenous iv infusion,powder
Powder For Injection (IM/IV),powder for injection im iv,powder
Powder for Injection (I.M./I.V.),powder for injection im iv,powder
Liquid Oil (Sweet Orange Flavor),liquid oil sweet orange flavor,liquid
Gel,gel,
Solution (Oral Drops),solution oral drops,solution
Granules for Oral Suspension,granules for oral suspension,suspension
Sterile Powder For Infusion,sterile powder for infusion,powder
Intraocular Irrigating Solution,intraocular irrigating solution,solution
Emulsion for IV Infusion,emulsion for iv infusion,emulsion
Suspension (Orange Flavor),suspension orange flavor,suspension
Nebulizing Solution,nebulizing solution,solution
Depot In Pre-Filled Syringe (Sc Injection),depot in pre-filled syringe sc injection,syringe
Syrup (Oral Drops) Orange Flavor,syrup oral drops orange flavor,syrup
Solution for Nebulizing,solution for nebulizing,solution
