original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Lyophilized Powder for Solution for Subcutaneous Injection,lyophilized powder for solution for subcutaneous injection,lyophilized powder,solution for subcutaneous injection,powder,solution,[],['injection']
Solution for Intravenous Infusion,solution for intravenous infusion,solution,intravenous infusion,solution,,['intravenous'],['infusion']
Sterile Freeze-Dried Powder For Iv Infusion Or Injection,sterile freeze-dried powder for iv infusion or injection,sterile freeze-dried powder,iv infusion or injection,powder,,['iv'],"['injection', 'infusion']"
Solution for Injection (IM/IV/SC),solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Solution S.C. for Injection,solution sc for injection,solution sc,injection,solution,,[],['injection']
Solution For Injection (IV/SC),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution for Injection (S.C./I.V.),solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Solution For Sc Injection,solution for sc injection,solution,sc injection,solution,,['sc'],['injection']
Powder For Concentrate For Infusion (Iv),powder for concentrate for infusion iv,powder,concentrate for infusion iv,powder,concentrate,['iv'],['infusion']
Solution For Injection (Pre-Filled Syringe),solution for injection pre-filled syringe,solution,injection pre-filled syringe,solution,,[],['injection']
Solution For Injection (Intravitreal),solution for injection intravitreal,solution,injection intravitreal,solution,,['intravitreal'],['injection']
Solution for Injection/ 150mg/ml,solution for injection mg ml,solution,injection mg ml,solution,,[],['injection']
Powder for Concentrate for Solution for IV Infusion,powder for concentrate for solution for iv infusion,powder,concentrate for solution for iv infusion,powder,concentrate,['iv'],['infusion']
Suspension for Injection (SC) (Formulation: 30% Soluble Insulin and 70% Protamine Insulin Aspart Crystals),suspension for injection sc formulation soluble insulin and protamine insulin aspart crystals,suspension,injection sc formulation soluble insulin and protamine insulin aspart crystals,suspension,,['sc'],['injection']
Lyophilized Powder for Concentrate Solution for IV Infusion,lyophilized powder for concentrate solution for iv infusion,lyophilized powder,concentrate solution for iv infusion,powder,concentrate,['iv'],['infusion']
Solution For Injection (Sc),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Suspension For Injection (Im),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Lyophilized Powder For Injection IV,lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Suspension for Injection (IM/SC),suspension for injection im sc,suspension,injection im sc,suspension,,"['im', 'sc']",['injection']
lyophilized powder for solution for injection,lyophilized powder for solution for injection,lyophilized powder,solution for injection,powder,solution,[],['injection']
Powder For Solution For Intravenous Infusion,powder for solution for intravenous infusion,powder,solution for intravenous infusion,powder,solution,['intravenous'],['infusion']
Lyophilized Powder For Injection (SC),lyophilized powder for injection sc,lyophilized powder,injection sc,powder,,['sc'],['injection']
Solution For Injection (S.C.),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Suspension for Injection (IM/IV/SC),suspension for injection im iv sc,suspension,injection im iv sc,suspension,,"['im', 'sc', 'iv']",['injection']
Solution for Injection (I.V. / S.C.),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution for Injection (IV / SC),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Powder For Solution For Injection (SC),powder for solution for injection sc,powder,solution for injection sc,powder,solution,['sc'],['injection']
Suspension For Injection (IM),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Powder for Solution for S.C. Injection,powder for solution for sc injection,powder,solution for sc injection,powder,solution,['sc'],['injection']
Powder for Injection (IM),powder for injection im,powder,injection im,powder,,['im'],['injection']
Concentrate For Solution For Infusion (IV),concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
Solution for Injection (IV Infusion),solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Powder for Solution for Injection (SC),powder for solution for injection sc,powder,solution for injection sc,powder,solution,['sc'],['injection']
Suspension for Injection (SC) [1 mL of suspension contains 100 units soluble insulin aspart/protamine-crystallized insulin aspart in the ratio 50/50 (equivalent to 3.5 mg)],suspension for injection sc ml of suspension contains units soluble insulin aspart protamine-crystallized insulin aspart in the ratio equivalent to mg,suspension,injection sc ml of suspension contains units soluble insulin aspart protamine-crystallized insulin aspart in the ratio equivalent to mg,suspension,suspension,['sc'],"['injection', 'suspension']"
Solution For Injection (S.C./I.M.),solution for injection sc im,solution,injection sc im,solution,,"['im', 'sc']",['injection']
Lyophilized Powder for Injection (IV/SC),lyophilized powder for injection iv sc,lyophilized powder,injection iv sc,powder,,"['sc', 'iv']",['injection']
Powder For Concentrate For Solution For Infusion,powder for concentrate for solution for infusion,powder,concentrate for solution for infusion,powder,concentrate,[],['infusion']
Solution for IV Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Suspension for Injection (Deep Subcutaneous/I.M.),suspension for injection deep subcutaneous im,suspension,injection deep subcutaneous im,suspension,,['im'],['injection']
Suspension for Injection (SC),suspension for injection sc,suspension,injection sc,suspension,,['sc'],['injection']
Solution for Injection (Intravitreal),solution for injection intravitreal,solution,injection intravitreal,solution,,['intravitreal'],['injection']
Solution for Injection (S.C.),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Concentrate for Solution for IV Infusion,concentrate for solution for iv infusion,concentrate,solution for iv infusion,concentrate,solution,['iv'],['infusion']
Hard Vaginal Capsule,hard vaginal capsule,hard vaginal capsule,,capsule,,[],[]
Powder for Solution for Intravenous Injection,powder for solution for intravenous injection,powder,solution for intravenous injection,powder,solution,['intravenous'],['injection']
Powder For Solution For I.V. Infusion,powder for solution for iv infusion,powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Solution for Injection (SC/IV),solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Orodispersible Tablet,orodispersible tablet,orodispersible tablet,,tablet,,[],[]
Solution For Injection/Infusion (SC/IV),solution for injection infusion sc iv,solution,injection infusion sc iv,solution,,"['sc', 'iv']","['injection', 'infusion']"
Powder for Solution for Injection (IM),powder for solution for injection im,powder,solution for injection im,powder,solution,['im'],['injection']
Solution for Injection (SC) (For Pediatric Use),solution for injection sc for pediatric use,solution,injection sc for pediatric use,solution,,"['pediatric', 'sc']",['injection']
Powder for Concentrate for solution for infusion,powder for concentrate for solution for infusion,powder,concentrate for solution for infusion,powder,concentrate,[],['infusion']
Solution for I.V. Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Solution For Injection (IV),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Powder for Concentrate for Solution for Infusion,powder for concentrate for solution for infusion,powder,concentrate for solution for infusion,powder,concentrate,[],['infusion']
Lyophilized Powder for SC Injection + Diluent,lyophilized powder for sc injection diluent,lyophilized powder,sc injection diluent,powder,,"['sc', 'diluent']",['injection']
Suspension for Intramuscular Injection - Single Dose Syringe,suspension for intramuscular injection - single dose syringe,suspension,intramuscular injection - single dose syringe,suspension,,['intramuscular'],['injection']
Solution for S.C. Injection,solution for sc injection,solution,sc injection,solution,,['sc'],['injection']
Powder for Injection (IV),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Solution For Injection (SC/IV),solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Powder For Solution For Injection (Im/Sc),powder for solution for injection im sc,powder,solution for injection im sc,powder,solution,"['im', 'sc']",['injection']
Powder For Solution For Injection (IM),powder for solution for injection im,powder,solution for injection im,powder,solution,['im'],['injection']
Sterile Suspension For Injection ( Sc ),sterile suspension for injection sc,sterile suspension,injection sc,suspension,,['sc'],['injection']
Powder for Solution for IV Infusion,powder for solution for iv infusion,powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Solution for Infusion (IV),solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Solution for Injection (SC/IM),solution for injection sc im,solution,injection sc im,solution,,"['im', 'sc']",['injection']
Solution For IV Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Solution For Injection (I.M./I.V./S.C.),solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Suspension For Injection (I.M./S.C.),suspension for injection im sc,suspension,injection im sc,suspension,,"['im', 'sc']",['injection']
Suspension For Injection (Im/Sc),suspension for injection im sc,suspension,injection im sc,suspension,,"['im', 'sc']",['injection']
Solution For Injection/ 5000 I.U.,solution for injection iu,solution,injection iu,solution,,[],['injection']
Lyophilized Powder for Injection (SC),lyophilized powder for injection sc,lyophilized powder,injection sc,powder,,['sc'],['injection']
Lyophilized Powder for Solution for Injection (IM/SC),lyophilized powder for solution for injection im sc,lyophilized powder,solution for injection im sc,powder,solution,"['im', 'sc']",['injection']
Capsule,capsule,capsule,,capsule,,[],[]
Solution for IM Injection,solution for im injection,solution,im injection,solution,,['im'],['injection']
"Solution for Injection, Pre-Filled Pen (Mai)",solution for injection pre-filled pen mai,solution,injection pre-filled pen mai,solution,,[],['injection']
Solution for Injection in Pre-filled Autoinjector,solution for injection in pre-filled autoinjector,solution,injection in pre-filled autoinjector,solution,,[],['injection']
Pre-filled Syringe for Injection,pre-filled syringe for injection,pre-filled syringe,injection,,,[],['injection']
Solution For Injection,solution for injection,solution,injection,solution,,[],['injection']
Solution for Injection (Sc),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Tablet,tablet,tablet,,tablet,,[],[]
PRE FILLED SYRINGE,pre filled syringe,pre filled syringe,,,,[],[]
Lyophilized Powder for Subcutaneous Injection,lyophilized powder for subcutaneous injection,lyophilized powder,subcutaneous injection,powder,,[],['injection']
Concentration For I.V. Solution,concentration for iv solution,concentration,iv solution,,solution,['iv'],[]
Suspension For Injection (IM/SC),suspension for injection im sc,suspension,injection im sc,suspension,,"['im', 'sc']",['injection']
Powder And Solvent For Solution For Injection,powder and solvent for solution for injection,powder and solvent,solution for injection,powder,solution,[],['injection']
Suspension For Injection (S.C.),suspension for injection sc,suspension,injection sc,suspension,,['sc'],['injection']
Freeze-Dried Injection In A Vial,freeze-dried injection in a vial,freeze-dried injection in a vial,,vial,,[],[]
Freeze-dried Powder for Oral Suspension,freeze-dried powder for oral suspension,freeze-dried powder,oral suspension,powder,suspension,['oral'],['suspension']
Suspension For Injection Im/Sc,suspension for injection im sc,suspension,injection im sc,suspension,,"['im', 'sc']",['injection']
Solution For Intradermal Injection,solution for intradermal injection,solution,intradermal injection,solution,,['intradermal'],['injection']
Concentrate for Solution for Infusion,concentrate for solution for infusion,concentrate,solution for infusion,concentrate,solution,[],['infusion']
Concentrate For Solution For Infusion (Iv),concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
Lyophilized Powder For Injection (S.C./I.M),lyophilized powder for injection sc im,lyophilized powder,injection sc im,powder,,"['im', 'sc']",['injection']
Suspension For Im Injection,suspension for im injection,suspension,im injection,suspension,,['im'],['injection']
Solution For Injection (Iv/Sc),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Concentrate for Solution For Infusion (Iv),concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
Solution for Injection (I.M./ S.C.),solution for injection im sc,solution,injection im sc,solution,,"['im', 'sc']",['injection']
Powder for Concentrate Solution For Infusion (IV),powder for concentrate solution for infusion iv,powder,concentrate solution for infusion iv,powder,concentrate,['iv'],['infusion']
Powder for Concentrate for Solution fro Infusion (IV),powder for concentrate for solution fro infusion iv,powder,concentrate for solution fro infusion iv,powder,concentrate,['iv'],['infusion']
Solution For Injection (Sc/Iv),solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Powder and Solvent for Solution for Injection (SC),powder and solvent for solution for injection sc,powder and solvent,solution for injection sc,powder,solution,['sc'],['injection']
Solution for Injection in Pre-filled Pen,solution for injection in pre-filled pen,solution,injection in pre-filled pen,solution,,[],['injection']
"Solution for Injection 
(SC)",solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Solution For Injection SC,solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Suspension For Injection IM,suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Solution For Injection (I.M),solution for injection im,solution,injection im,solution,,['im'],['injection']
Sublingual Tablet,sublingual tablet,sublingual tablet,,tablet,,[],[]
"Lyophilized Powder for Solution 
for Injection (IV)",lyophilized powder for solution for injection iv,lyophilized powder,solution for injection iv,powder,solution,['iv'],['injection']
Lyophilized Powder for Solution for Injection (IV),lyophilized powder for solution for injection iv,lyophilized powder,solution for injection iv,powder,solution,['iv'],['injection']
Lyophilized Powder for Injection (ID),lyophilized powder for injection id,lyophilized powder,injection id,powder,,['id'],['injection']
Suspension for Injection (SC) (30% Insulin Aspart and 70% Insulin Aspart Protamine),suspension for injection sc insulin aspart and insulin aspart protamine,suspension,injection sc insulin aspart and insulin aspart protamine,suspension,,['sc'],['injection']
Cocentrate for Solution for IV Infusion,cocentrate for solution for iv infusion,cocentrate,solution for iv infusion,,solution,['iv'],['infusion']
Powder For Solution For Intratracheal Infusion,powder for solution for intratracheal infusion,powder,solution for intratracheal infusion,powder,solution,['intratracheal'],['infusion']
Solution For Infusion IV,solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Solution For Injection (IM),solution for injection im,solution,injection im,solution,,['im'],['injection']
"Suspension for Injection (SC) (30% 
Soluble Insulin and 70% Isophane Insulin)",suspension for injection sc soluble insulin and isophane insulin,suspension,injection sc soluble insulin and isophane insulin,suspension,,['sc'],['injection']
Concentrate For Solution For I.V. Injection,concentrate for solution for iv injection,concentrate,solution for iv injection,concentrate,solution,['iv'],['injection']
Powder for Concentrate for Solution for Infusion (IV),powder for concentrate for solution for infusion iv,powder,concentrate for solution for infusion iv,powder,concentrate,['iv'],['infusion']
Intratracheal Suspension,intratracheal suspension,intratracheal suspension,,suspension,,[],[]
Lyophilized Powder for Injection (IV),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Oral Suspension,oral suspension,oral suspension,,suspension,,[],[]
Solution for Injection (IV/IM/SC),solution for injection iv im sc,solution,injection iv im sc,solution,,"['im', 'sc', 'iv']",['injection']
Solution for Injection (IM),solution for injection im,solution,injection im,solution,,['im'],['injection']
Powder For Concentrate For Solution For Infusion (IV),powder for concentrate for solution for infusion iv,powder,concentrate for solution for infusion iv,powder,concentrate,['iv'],['infusion']
"Powder for Concentrate for Solution for 
Infusion (IV)",powder for concentrate for solution for infusion iv,powder,concentrate for solution for infusion iv,powder,concentrate,['iv'],['infusion']
Vascular Endothelial Growth Factor Inhibitors,vascular endothelial growth factor inhibitors,vascular endothelial growth factor inhibitors,,,,[],[]
Concentrate For Solution Fo Infusion (IV),concentrate for solution fo infusion iv,concentrate,solution fo infusion iv,concentrate,solution,['iv'],['infusion']
Powder for Injection (I.M./I.V.) (Monodose),powder for injection im iv monodose,powder,injection im iv monodose,powder,,"['im', 'iv']",['injection']
Powder For Suspension,powder for suspension,powder,suspension,powder,suspension,[],['suspension']
Suspension for Injection (IM) (Monodose),suspension for injection im monodose,suspension,injection im monodose,suspension,,['im'],['injection']
Suspension for Injection (IM) (Pediatric-Single Dose),suspension for injection im pediatric-single dose,suspension,injection im pediatric-single dose,suspension,,"['pediatric', 'im']",['injection']
Suspension for Injection (I.M.),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Lyophilized Powder for Injection (S.C.) Monodose (see formulation on reverse side),lyophilized powder for injection sc monodose see formulation on reverse side,lyophilized powder,injection sc monodose see formulation on reverse side,powder,,['sc'],['injection']
Lyophilized Powder for Injection (IM),lyophilized powder for injection im,lyophilized powder,injection im,powder,,['im'],['injection']
Suspension for Injection (IM) (Preservative free),suspension for injection im preservative free,suspension,injection im preservative free,suspension,,['im'],['injection']
Suspension For Injection (I.M.)-Thiomersal Free,suspension for injection im-thiomersal free,suspension,injection im-thiomersal free,suspension,,['im'],['injection']
Iv,iv,iv,,,,[],[]
Freeze-Dried Powder For Suspension for Injection (S.C.),freeze-dried powder for suspension for injection sc,freeze-dried powder,suspension for injection sc,powder,suspension,['sc'],"['injection', 'suspension']"
Suspension For Injection (I.M),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Powder for Intravenous Injection or Infusion,powder for intravenous injection or infusion,powder,intravenous injection or infusion,powder,,['intravenous'],"['injection', 'infusion']"
Solution for Injection (I.V.),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Suspension For Injection(Im) Multidose,suspension for injectionim multidose,suspension,injectionim multidose,suspension,,[],[]
Solution for IV Injection (IV Infusion),solution for iv injection iv infusion,solution,iv injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Solution for Injection (IV),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Freeze-Dried Powder For Injection (Multidose) (SC),freeze-dried powder for injection multidose sc,freeze-dried powder,injection multidose sc,powder,,['sc'],['injection']
Suspension For Injection (IM) (Multidose),suspension for injection im multidose,suspension,injection im multidose,suspension,,['im'],['injection']
Freeze-Dried Powder For Injection (SC),freeze-dried powder for injection sc,freeze-dried powder,injection sc,powder,,['sc'],['injection']
Oral Suspension and Effervescent Granules,oral suspension and effervescent granules,oral suspension and effervescent granules,,suspension,,[],[]
Suspension for IM Injection,suspension for im injection,suspension,im injection,suspension,,['im'],['injection']
Suspension for Injection (IM) (Preservative-free),suspension for injection im preservative-free,suspension,injection im preservative-free,suspension,,['im'],['injection']
2.5 IU/mL Lyophilized Powder for Injection (ID/IM),iu ml lyophilized powder for injection id im,iu ml lyophilized powder,injection id im,powder,,"['im', 'id']",['injection']
Lyophilized Powder For Injection,lyophilized powder for injection,lyophilized powder,injection,powder,,[],['injection']
Lyophilized Powder for Injection (IM/SC),lyophilized powder for injection im sc,lyophilized powder,injection im sc,powder,,"['im', 'sc']",['injection']
Solution For Iv Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Suspension For Injection(IM),suspension for injectionim,suspension,injectionim,suspension,,[],[]
Suspension for Injection(IM) (Multidose) (Adult),suspension for injectionim multidose adult,suspension,injectionim multidose adult,suspension,,[],[]
Freeze-Dried Powder For Injection (I.D.),freeze-dried powder for injection id,freeze-dried powder,injection id,powder,,['id'],['injection']
Suspension For Injection (IM) Single Dose (Adult),suspension for injection im single dose adult,suspension,injection im single dose adult,suspension,,['im'],['injection']
Solution For Injection (ID),solution for injection id,solution,injection id,solution,,['id'],['injection']
Solution for Injection (IM.),solution for injection im,solution,injection im,solution,,['im'],['injection']
Freeze-dried Powder for Injection (I.D.),freeze-dried powder for injection id,freeze-dried powder,injection id,powder,,['id'],['injection']
Suspension for Injection (IM) (Pediatric),suspension for injection im pediatric,suspension,injection im pediatric,suspension,,"['pediatric', 'im']",['injection']
Solution for Injection (ID),solution for injection id,solution,injection id,solution,,['id'],['injection']
Freeze-Dried Powder For Intradermal Injection,freeze-dried powder for intradermal injection,freeze-dried powder,intradermal injection,powder,,['intradermal'],['injection']
Solution For Injection (I.M.),solution for injection im,solution,injection im,solution,,['im'],['injection']
Suspension for Injection IM,suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Solution For Oral Administration - Single Dose,solution for oral administration - single dose,solution,oral administration - single dose,solution,,['oral'],[]
Suspension For Injection (I.M.),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Suspension For IM Injection,suspension for im injection,suspension,im injection,suspension,,['im'],['injection']
Freeze Dried Powder For Injection (I.M./I.D.),freeze dried powder for injection im id,freeze dried powder,injection im id,powder,,"['im', 'id']",['injection']
0.5 mL Suspension for Injection (IM) - 2PE (See reverse for Formulation),ml suspension for injection im - pe see reverse for formulation,ml suspension,injection im - pe see reverse for formulation,suspension,,['im'],['injection']
Solution For Infusion (Iv),solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Powder for Solution for Injection (S.C./I.M.),powder for solution for injection sc im,powder,solution for injection sc im,powder,solution,"['im', 'sc']",['injection']
Lyophilized Powder For Injection (Id/Im),lyophilized powder for injection id im,lyophilized powder,injection id im,powder,,"['im', 'id']",['injection']
"Suspension For Injection (Deep I.M.), 2PE Free",suspension for injection deep im pe free,suspension,injection deep im pe free,suspension,,['im'],['injection']
Deep S.C./I.M. Single Use,deep sc im single use,deep sc im single use,,,,[],[]
Enteric-Coated Capsule,enteric-coated capsule,enteric-coated capsule,,capsule,,[],[]
Freeze -Dried Powder for Injection (IM/ID),freeze -dried powder for injection im id,freeze -dried powder,injection im id,powder,,"['im', 'id']",['injection']
Solution for I.V. Injection,solution for iv injection,solution,iv injection,solution,,['iv'],['injection']
Solution For Injection(Sc),solution for injectionsc,solution,injectionsc,solution,,[],[]
Concentrate For Solution For I.V. Infusion,concentrate for solution for iv infusion,concentrate,solution for iv infusion,concentrate,solution,['iv'],['infusion']
Solution For IV Injection,solution for iv injection,solution,iv injection,solution,,['iv'],['injection']
Power For Intravenous Infusion,power for intravenous infusion,power,intravenous infusion,,,['intravenous'],['infusion']
Solution For Injection (I.M./ S.C.),solution for injection im sc,solution,injection im sc,solution,,"['im', 'sc']",['injection']
Solution for Infusion (IV/SC),solution for infusion iv sc,solution,infusion iv sc,solution,,"['sc', 'iv']",['infusion']
Suspension for Injection (IM) - Single dose for Adolescent and Adult,suspension for injection im - single dose for adolescent and adult,suspension,injection im - single dose for adolescent and adult,suspension,,['im'],['injection']
Concentrate For Solution For IV Injection,concentrate for solution for iv injection,concentrate,solution for iv injection,concentrate,solution,['iv'],['injection']
"Concentrate for Solution 
for Infusion (IV)",concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
Lyophilized Poweder For Injection (IM/SC),lyophilized poweder for injection im sc,lyophilized poweder,injection im sc,,,"['im', 'sc']",['injection']
Suspension For Injection (IM)-Thiomersal Free,suspension for injection im-thiomersal free,suspension,injection im-thiomersal free,suspension,,['im'],['injection']
Suspension for Injection (IM) - Thiomersal Free,suspension for injection im - thiomersal free,suspension,injection im - thiomersal free,suspension,,['im'],['injection']
Solution For Iv/Sc Injection,solution for iv sc injection,solution,iv sc injection,solution,,"['sc', 'iv']",['injection']
Solution for Injection for IV Infusion,solution for injection for iv infusion,solution,injection for iv infusion,solution,,['iv'],"['injection', 'infusion']"
Lyophilized Powder For Solution For Im Injection,lyophilized powder for solution for im injection,lyophilized powder,solution for im injection,powder,solution,['im'],['injection']
Solution for Injection (I.M./S.C.),solution for injection im sc,solution,injection im sc,solution,,"['im', 'sc']",['injection']
Powder for Injection (SC),powder for injection sc,powder,injection sc,powder,,['sc'],['injection']
Im,im,im,,,,[],[]
Powder and Solution For Injection (IM),powder and solution for injection im,powder and solution,injection im,powder,,['im'],['injection']
Solution for Injection IM,solution for injection im,solution,injection im,solution,,['im'],['injection']
Lyophilized Powder For Injection (S.C.),lyophilized powder for injection sc,lyophilized powder,injection sc,powder,,['sc'],['injection']
Lyophilized powder for injection (SC),lyophilized powder for injection sc,lyophilized powder,injection sc,powder,,['sc'],['injection']
Lyophilized Powder For Intravesical Instillation,lyophilized powder for intravesical instillation,lyophilized powder,intravesical instillation,powder,,['intravesical'],['instillation']
Powder for Solution for Injection (IV Infusion),powder for solution for injection iv infusion,powder,solution for injection iv infusion,powder,solution,['iv'],"['injection', 'infusion']"
Solution For Injection (Sc/IV),solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Lyophilized Powder for Solution for Injection (S.C.),lyophilized powder for solution for injection sc,lyophilized powder,solution for injection sc,powder,solution,['sc'],['injection']
Solution For Injection (Iv Infusion),solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Suspension For Oral Use,suspension for oral use,suspension,oral use,suspension,,['oral'],[]
Lyophilized Powder for Intramuscular or Subcutaneous Injection,lyophilized powder for intramuscular or subcutaneous injection,lyophilized powder,intramuscular or subcutaneous injection,powder,,['intramuscular'],['injection']
Solution For Injection (S.C),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Topical Solution (Spray),topical solution spray,topical solution spray,,solution,,[],[]
Ointment,ointment,ointment,,ointment,,[],[]
Lyophilized Powder For Injection ( S.C ),lyophilized powder for injection sc,lyophilized powder,injection sc,powder,,['sc'],['injection']
Lyophilized Powder For Injection (Im/Sc),lyophilized powder for injection im sc,lyophilized powder,injection im sc,powder,,"['im', 'sc']",['injection']
Concentrate For Solution For Iv Infusion/ 20Mg/Ml,concentrate for solution for iv infusion mg ml,concentrate,solution for iv infusion mg ml,concentrate,solution,['iv'],['infusion']
Solution For Injection (Iv),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Suspension (Oral Drops),suspension oral drops,suspension oral drops,,suspension,,[],[]
Solution For Infusion,solution for infusion,solution,infusion,solution,,[],['infusion']
Freeze- Dried Powder For Injection ( S.C ),freeze- dried powder for injection sc,freeze- dried powder,injection sc,powder,,['sc'],['injection']
Solution for Injection (IVT),solution for injection ivt,solution,injection ivt,solution,,['ivt'],['injection']
Solution for Intravitreal Injection,solution for intravitreal injection,solution,intravitreal injection,solution,,['intravitreal'],['injection']
Lyophilized Powder For Intramuscular Or Subcutaneous Injection,lyophilized powder for intramuscular or subcutaneous injection,lyophilized powder,intramuscular or subcutaneous injection,powder,,['intramuscular'],['injection']
